CrashID,CrashTime,AmbulanceR,BikeAge,BikeAgeGrp,BikeAlcDrg,BikeAlcFlg,BikeDir,BikeInjury,BikePos,BikeRace,BikeSex,City,County,CrashAlcoh,CrashDay,CrashGrp,CrashHour,CrashLoc,CrashMonth,CrashSevr,CrashType,CrashYear,Developmen,DrvrAge,DrvrAgeGrp,DrvrAlcDrg,DrvrAlcFlg,DrvrInjury,DrvrRace,DrvrSex,DrvrVehTyp,HitRun,LightCond,Locality,NumBicsAin,NumBicsBin,NumBicsCin,NumBicsKil,NumBicsNoi,NumBicsTot,NumBicsUin,NumLanes,NumUnits,RdCharacte,RdClass,RdConditio,RdConfig,RdDefects,RdFeature,RdSurface,Region,RuralUrban,SpeedLimit,TraffCntrl,Weather,Workzone,Latitude,Longitude,Coordinates Source ID,GIS Route,GIS Milepost,Coded by PBCAT,Crash Report Link,MPORPO_Number,MPORPO_Name,Division,CrashDate
106196506,1/27/20 0:00,Yes,44,40 to 49,No,No,With Traffic,C: Possible Injury,Bike Lane / Paved Shoulder,White,Male,Chapel Hill,Orange,No,Monday,Motorist Left Turn / Merge,17,Intersection-Related,January,C: Possible Injury,Motorist Left Turn - Opposite Direction,2020,Commercial,44,40-49,No,No,C: Possible Injury,White,Male,Passenger Car,No,Dark - Lighted Roadway,Urban (>70% Developed),0,0,1,0,0,1,0,3,1,Straight - Level,NC Route,Wet,"Two-Way, Not Divided",None,T-Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35 MPH,No Control Present,Rain,No,35.897608,-79.057739,1,30000086068,0.301,Y,https://crashweb.ncdot.gov/crashweb/submitCrashIDFromTRCS.do?crashID=106196506,5,Durham Chapel Hill Carrboro MPO,7,1/27/2020
106186975,2/1/20 0:00,Yes,19,16 to 19,No,No,With Traffic,C: Possible Injury,Bike Lane / Paved Shoulder,Asian,Female,Carrboro,Orange,No,Saturday,Loss of Control / Turning Error,13,Intersection-Related,February,C: Possible Injury,Bicyclist Lost Control - Surface Conditions,2020,Commercial,19,0-19,No,No,C: Possible Injury,Asian,Female,Passenger Car,No,Daylight,Urban (>70% Developed),0,0,1,0,0,1,0,2,1,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,T-Intersection,Smooth Asphalt,Piedmont,Urban,20 - 25 MPH,No Control Present,Cloudy,No,35.911224,-79.075153,1,50032343068,999.999,Y,https://crashweb.ncdot.gov/crashweb/submitCrashIDFromTRCS.do?crashID=106186975,5,Durham Chapel Hill Carrboro MPO,7,2/1/2020
106186988,2/2/20 0:00,Yes,36,30 to 39,No,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,Carrboro,Orange,No,Sunday,Head-On,1,Intersection,February,B: Suspected Minor Injury,Head-On - Bicyclist,2020,Commercial,51,50-59,No,No,O: No Injury,White,Female,Passenger Car,No,Dark - Lighted Roadway,Urban (>70% Developed),0,1,0,0,0,1,0,6,1,Curve - Level,Local Street,Dry,"Two-Way, Not Divided",None,Related To Intersection,Smooth Asphalt,Piedmont,Urban,20 - 25 MPH,Stop And Go Signal,Clear,No,35.910855,-79.067136,1,40001010068,1.667,Y,https://crashweb.ncdot.gov/crashweb/submitCrashIDFromTRCS.do?crashID=106186988,5,Durham Chapel Hill Carrboro MPO,7,2/2/2020
106244262,3/24/20 0:00,Yes,15,11 to 15,No,No,With Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Female,Chapel Hill,Orange,No,Tuesday,Motorist Failed to Yield - Signalized Intersection,12,Intersection-Related,March,C: Possible Injury,Motorist Drive Out - Signalized Intersection,2020,Residential,91,70+,No,No,O: No Injury,White,Male,Passenger Car,No,Daylight,Urban (>70% Developed),0,0,1,0,0,1,0,3,1,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35 MPH,Stop And Go Signal,Cloudy,No,35.962295,-79.037365,1,50032346068,999.999,Y,https://crashweb.ncdot.gov/crashweb/submitCrashIDFromTRCS.do?crashID=106244262,5,Durham Chapel Hill Carrboro MPO,7,3/24/2020
106282567,5/24/20 0:00,Yes,24,20 to 29,No,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Asian,Male,Chapel Hill,Orange,No,Sunday,Motorist Left Turn / Merge,18,Intersection,May,B: Suspected Minor Injury,Motorist Left Turn - Opposite Direction,2020,Residential,68,60-69,No,No,O: No Injury,Asian,Female,Sport Utility,No,Daylight,Urban (>70% Developed),0,1,0,0,0,1,0,2,1,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,T-Intersection,Smooth Asphalt,Piedmont,Urban,Unknown,Unknown,Cloudy,No,35.93257,-79.01265,1,40001742068,0.722,Y,https://crashweb.ncdot.gov/crashweb/submitCrashIDFromTRCS.do?crashID=106282567,5,Durham Chapel Hill Carrboro MPO,7,5/24/2020
106305568,6/13/20 0:00,No,21,20 to 29,No,No,Not Applicable,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Female,Chapel Hill,Orange,No,Saturday,Crossing Paths - Other Circumstances,12,Intersection-Related,June,B: Suspected Minor Injury,Sign-Controlled Intersection - Other / Unknown,2020,Commercial,82,70+,No,No,O: No Injury,White,Male,Pickup,No,Daylight,Urban (>70% Developed),0,1,0,0,0,1,0,5,1,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Piedmont,Urban,20 - 25 MPH,No Control Present,Clear,No,35.91269,-79.05708,1,40001010068,2.322,Y,https://crashweb.ncdot.gov/crashweb/submitCrashIDFromTRCS.do?crashID=106305568,5,Durham Chapel Hill Carrboro MPO,7,6/13/2020
106355133,9/12/20 0:00,Yes,51,50 to 59,No,No,With Traffic,C: Possible Injury,Unknown,Hispanic,Female,Carrboro,Orange,No,Saturday,Motorist Left Turn / Merge,20,Intersection,September,C: Possible Injury,Motorist Left Turn - Opposite Direction,2020,Commercial,51,50-59,No,No,C: Possible Injury,Hispanic,Female,Passenger Car,No,Dark - Lighted Roadway,Urban (>70% Developed),0,0,1,0,0,1,0,3,1,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Coarse Asphalt,Piedmont,Urban,20 - 25 MPH,Stop And Go Signal,Clear,No,35.910324,-79.072335,1,40001772068,0,Y,https://crashweb.ncdot.gov/crashweb/submitCrashIDFromTRCS.do?crashID=106355133,5,Durham Chapel Hill Carrboro MPO,7,9/12/2020
106436522,12/11/20 0:00,Yes,22,20 to 29,No,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,Carrboro,Orange,No,Friday,Motorist Failed to Yield - Sign-Controlled Intersection,15,Intersection,December,B: Suspected Minor Injury,Motorist Drive Out - Sign-Controlled Intersection,2020,Residential,22,20-24,No,No,B: Suspected Minor Injury,White,Male,Sport Utility,No,Daylight,Urban (>70% Developed),0,1,0,0,0,1,0,2,1,Curve - Grade,Local Street,Dry,"Two-Way, Not Divided",None,Related To Intersection,Smooth Asphalt,Piedmont,Urban,20 - 25 MPH,Stop Sign,Clear,No,35.913074,-79.084648,1,50098681068,0.161,Y,https://crashweb.ncdot.gov/crashweb/submitCrashIDFromTRCS.do?crashID=106436522,5,Durham Chapel Hill Carrboro MPO,7,12/11/2020
106466975,12/17/20 0:00,Yes,14,11 to 15,No,No,Facing Traffic,Unknown Injury,Travel Lane,Asian,Male,Chapel Hill,Orange,No,Thursday,Bicyclist Failed to Yield - Signalized Intersection,19,Intersection-Related,December,Unknown Injury,Bicyclist Failed to Clear - Unknown,2020,Residential,Not Coded,Not Coded,No,No,Unknown Injury,Unknown/Missing,Unknown,Unknown,Yes,Dark - Roadway Not Lighted,Urban (>70% Developed),0,0,0,0,0,1,1,4,1,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,Unknown,Unknown,Clear,No,35.950567,-79.060969,1,50014324068,999.999,Y,https://crashweb.ncdot.gov/crashweb/submitCrashIDFromTRCS.do?crashID=106466975,5,Durham Chapel Hill Carrboro MPO,7,12/17/2020
106462526,1/10/21 0:00,Yes,32,30 to 39,No,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,Carrboro,Orange,No,Sunday,Motorist Left Turn / Merge,13,Intersection,January,B: Suspected Minor Injury,Motorist Left Turn - Opposite Direction,2021,Residential,41,40-49,No,No,O: No Injury,White,Female,Sport Utility,No,Daylight,Urban (>70% Developed),0,1,0,0,0,1,0,2,1,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,20 - 25 MPH,No Control Present,Clear,No,35.944474,-79.097852,1,68,999.999,Y,https://crashweb.ncdot.gov/crashweb/submitCrashIDFromTRCS.do?crashID=106462526,5,Durham Chapel Hill Carrboro MPO,7,1/10/2021
